count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6009,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,7,M1,432150,429500,53.76087074,-1.5138143,1.9,1.18,Estimated,Estimated using previous year's AADF on this link,0,156,52909,227,10135,1228,276,285,422,1013,755,3977,67405
6055,2018,8,Yorkshire and The Humber,63,Leeds,M62,major,27,28,426000,426200,53.73155274,-1.60737394,4.9,3.04,Counted,Automatic counter,0,269,81632,230,21123,2967,696,755,607,6882,6251,18158,121412
6063,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,RD SPLIT,1,426500,429600,53.76208625,-1.5995049,4,2.49,Estimated,Estimated using previous year's AADF on this link,0,152,51575,162,9780,1170,293,175,194,550,403,2786,64455
6578,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,B6135,A6110,423443,429918,53.765089,-1.6458511,5.2,3.23,Counted,Manual count,63,53,5700,104,1033,110,16,11,36,3,11,188,7077
6595,2018,8,Yorkshire and The Humber,63,Leeds,A61,major,A654,A639,432560,428000,53.74736384,-1.50775305,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,50,102,8941,189,1740,80,23,9,36,13,8,169,11140
6607,2018,8,Yorkshire and The Humber,63,Leeds,A63,major,A642,Ninelands Lane,440000,432382,53.78623094,-1.39437606,1.9,1.18,Estimated,Estimated using previous year's AADF on this link,46,144,17456,143,2517,188,54,32,61,51,61,447,20707
6613,2018,8,Yorkshire and The Humber,63,Leeds,A65,major,A6038,A658,419934,441000,53.86483838,-1.69836777,3.4,2.11,Estimated,Estimated using previous year's AADF on this link,204,76,15671,146,2004,237,56,16,141,38,28,516,18413
7398,2018,8,Yorkshire and The Humber,63,Leeds,A639,major,A654,A642,436100,428000,53.7471315,-1.45407654,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,65,181,14627,198,3124,168,55,15,70,37,34,379,18508
7402,2018,8,Yorkshire and The Humber,63,Leeds,A642,major,M62,Oulton Drive,436040,427000,53.73814801,-1.45510253,1.7,1.06,Estimated,Estimated using previous year's AADF on this link,36,119,12555,103,2055,211,36,49,93,77,58,525,15357
7403,2018,8,Yorkshire and The Humber,63,Leeds,A643,major,A650,A6110,427560,429830,53.76409868,-1.58340592,4.2,2.61,Estimated,Estimated using previous year's AADF on this link,126,62,10790,214,1466,105,9,2,3,4,2,124,12656
7410,2018,8,Yorkshire and The Humber,63,Leeds,A647,major,A6110,A657,424500,434000,53.80172997,-1.62949395,0.8,0.5,Counted,Manual count,1,112,19805,276,2445,211,36,8,60,15,63,392,23030
7415,2018,8,Yorkshire and The Humber,63,Leeds,A650,major,A654,M1,430000,425120,53.7216321,-1.54684874,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,38,126,13468,79,2343,81,16,10,36,13,16,173,16188
7418,2018,8,Yorkshire and The Humber,63,Leeds,A654,major,Arran Way,A639,435883,428205,53.748987,-1.4573432,1.3,0.81,Counted,Manual count,38,93,8714,15,1044,67,14,7,9,11,7,113,9980
7422,2018,8,Yorkshire and The Humber,63,Leeds,A659,major,A658,A61,431137,445675,53.906305,-1.527547,7.1,4.41,Counted,Manual count,41,74,6128,29,1020,86,20,8,16,34,20,182,7433
7755,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A660(T),A61,430000,439030,53.84665092,-1.54550046,4.4,2.73,Estimated,Estimated using previous year's AADF on this link,27,103,22798,65,3481,188,33,23,51,38,34,367,26815
7850,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A64(M),A61 Meanwood Road,430533,434519,53.80607683,-1.53784563,0.6,0.37,Estimated,Estimated using previous year's AADF on this link,230,190,35724,105,4818,379,64,30,45,39,25,582,41419
8263,2018,8,Yorkshire and The Humber,63,Leeds,A659,major,A660(T)/A6038,Ilkley rd,419620,445185,53.90246382,-1.70287603,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,83,89,11761,120,2106,127,35,8,71,17,18,276,14354
8348,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,4,5,430550,431500,53.77894206,-1.53788566,0.6,0.37,Counted,Manual count,0,351,78257,340,13105,1801,356,110,539,411,1535,4753,96806
8538,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,A650 SPUR,RD SPLIT,424290,428000,53.74781294,-1.63315253,1.1,0.68,Estimated,Estimated from nearby links,0,42,12519,37,2415,294,64,28,46,141,97,671,15683
8540,2018,8,Yorkshire and The Humber,63,Leeds,A660,major,A58,A58(M),429951,434211,53.80334234,-1.54671269,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,609,81,12826,916,1038,203,12,2,3,2,0,222,15083
8548,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,A62,SPUR,425000,427910,53.74697063,-1.62239379,1.3,0.81,Estimated,Estimated from nearby links,0,67,26538,89,4950,582,166,118,102,267,209,1444,33088
8554,2018,8,Yorkshire and The Humber,63,Leeds,A64M,major,A64(M),A64(M),431250,433680,53.79849378,-1.52704339,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,0,235,23502,155,3665,401,44,29,59,34,35,603,28159
16054,2018,8,Yorkshire and The Humber,63,Leeds,M62,major,29,30,433800,425850,53.72796166,-1.48918526,3.8,2.36,Counted,Automatic counter,0,130,68816,90,16503,2696,873,407,1093,2996,8129,16194,101733
16562,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A659,A659,439011,446050,53.90914556,-1.40765492,0.7,0.43,Estimated,Estimated using previous year's AADF on this link,51,103,17925,95,2541,172,42,31,60,36,49,389,21052
16576,2018,8,Yorkshire and The Humber,63,Leeds,A61,major,A58,A6120,430000,436500,53.82391225,-1.54574645,5.3,3.29,Estimated,Estimated using previous year's AADF on this link,110,160,25784,266,3077,192,45,19,44,16,13,330,29617
16590,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A64,A64,435954,436100,53.81994088,-1.4553488,1,0.62,Estimated,Estimated using previous year's AADF on this link,20,197,28790,77,4568,289,79,35,68,94,46,611,34243
16593,2018,8,Yorkshire and The Humber,63,Leeds,A64,major,A64(M),A63,433000,434000,53.80126216,-1.50044179,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,225,293,33681,880,5122,300,96,32,72,52,36,588,40565
16598,2018,8,Yorkshire and The Humber,63,Leeds,A65,major,A6120,B6157,425000,436700,53.82597318,-1.62168423,4.6,2.86,Estimated,Estimated using previous year's AADF on this link,387,104,14688,197,2009,154,45,37,35,29,24,323,17321
17366,2018,8,Yorkshire and The Humber,63,Leeds,A650,major,A62,A643,424409,428112,53.748812,-1.6313393,1,0.62,Counted,Manual count,86,145,16527,25,3464,474,99,45,57,249,151,1076,21236
17369,2018,8,Yorkshire and The Humber,63,Leeds,A653,major,M62,A6110 Millshaw Road,428569,428000,53.74759695,-1.56826887,2.7,1.68,Estimated,Estimated using previous year's AADF on this link,103,166,40042,263,4158,451,124,54,169,68,64,931,45560
17370,2018,8,Yorkshire and The Humber,63,Leeds,A656,major,A63,A1 / A642,443000,432001,53.78256825,-1.34889932,3.3,2.05,Counted,Manual count,9,51,7965,31,1407,217,116,55,64,104,89,645,10099
17372,2018,8,Yorkshire and The Humber,63,Leeds,A658,major,A65,Glenmere Mount,421000,440400,53.85940395,-1.68219929,1.8,1.12,Estimated,Estimated using previous year's AADF on this link,10,33,8450,15,1259,187,30,15,21,44,23,320,10078
17373,2018,8,Yorkshire and The Humber,63,Leeds,A659,major,A61,A58,435000,445100,53.90089304,-1.46881615,6.8,4.23,Estimated,Estimated using previous year's AADF on this link,5,31,7294,35,1891,114,26,7,62,40,36,285,9536
17374,2018,8,Yorkshire and The Humber,63,Leeds,A660,major,A58(M),A6120,429330,435000,53.81046885,-1.55606662,5.1,3.17,Estimated,Estimated using previous year's AADF on this link,1019,79,14733,639,2051,133,73,21,92,29,35,382,17884
17719,2018,8,Yorkshire and The Humber,63,Leeds,A6110,major,A58,A62,426980,431640,53.78039677,-1.59204643,0.9,0.56,Counted,Manual count,93,134,23888,100,4835,536,155,91,263,264,192,1501,30458
17721,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A647,A657,420990,435147,53.81219,-1.6827081,2.5,1.55,Counted,Manual count,6,173,26295,99,4519,358,82,51,110,111,71,783,31870
17950,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A62,A643,428500,432630,53.78921397,-1.56888928,0.4,0.25,Estimated,Estimated using previous year's AADF on this link,24,40,12393,123,4410,217,53,10,32,21,34,367,17334
18247,2018,8,Yorkshire and The Humber,63,Leeds,A660,major,Leeds Road roundabout,A6038,420000,444963,53.90045412,-1.69710707,1.6,0.99,Counted,Manual count,61,76,9017,27,1464,106,36,23,40,37,31,274,10858
18451,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A65,A58M,429193,433664,53.79846899,-1.55827324,0.6,0.37,Estimated,Estimated using previous year's AADF on this link,1,44,7775,18,1282,193,23,15,116,10,11,369,9488
18655,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A650(T),B6135,422022,428774,53.7548698,-1.66748827,1.1,0.68,Estimated,Estimated using previous year's AADF on this link,57,58,4754,76,1219,59,29,7,41,7,8,150,6257
26007,2018,8,Yorkshire and The Humber,63,Leeds,M1,major,41,42,431500,425120,53.72154404,-1.52411811,2.3,1.43,Counted,Manual count,0,247,100824,398,21117,2758,894,565,881,1911,5905,12916,135503
26074,2018,8,Yorkshire and The Humber,63,Leeds,A64M,major,A61,A64(M),431000,433770,53.79931757,-1.53082973,0.4,0.25,Estimated,Estimated using previous year's AADF on this link,0,296,36412,219,5413,495,99,34,154,59,44,885,43225
26091,2018,8,Yorkshire and The Humber,63,Leeds,A63,major,A63/A1 interchange,A63,446500,430730,53.77084533,-1.29597762,1.3,0.81,Estimated,Estimated using previous year's AADF on this link,18,83,7751,15,1620,289,52,78,166,187,292,1063,10534
26603,2018,8,Yorkshire and The Humber,63,Leeds,A61,major,A64(M),Cross Stamford St,430829,433954,53.80098,-1.5334075,0.5,0.31,Counted,Manual count,352,196,28023,165,2938,224,70,14,49,36,39,432,31754
26613,2018,8,Yorkshire and The Humber,63,Leeds,A62,major,A650,A6110,426000,430000,53.76570645,-1.60705559,4.7,2.92,Estimated,Estimated using previous year's AADF on this link,38,69,7396,51,2278,127,37,6,27,22,61,280,10074
26618,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A6120(T),Stile Hill Way,437400,433320,53.79485395,-1.43372219,0.8,0.5,Estimated,Estimated using previous year's AADF on this link,89,178,35756,235,4797,302,86,41,48,119,93,691,41656
26625,2018,8,Yorkshire and The Humber,63,Leeds,A65,major,LA Boundary,A6038,418000,442700,53.88018778,-1.72767663,0.9,0.56,Counted,Manual count,335,159,17076,117,2370,201,42,18,74,25,20,379,20101
27414,2018,8,Yorkshire and The Humber,63,Leeds,A639,major,M1,A654,434840,429070,53.75683373,-1.47306138,2.9,1.8,Estimated,Estimated using previous year's AADF on this link,103,100,12443,227,1941,186,32,29,56,74,49,426,15137
27428,2018,8,Yorkshire and The Humber,63,Leeds,A647,major,A6120,A6110,424000,434120,53.8028317,-1.63707605,3.7,2.3,Estimated,Estimated using previous year's AADF on this link,10,294,44876,509,8041,712,176,72,182,205,189,1536,55255
27432,2018,8,Yorkshire and The Humber,63,Leeds,A650,major,A6029,M62,427000,426560,53.73473778,-1.59218519,1.3,0.81,Counted,Manual count,73,116,15825,47,2782,463,45,38,112,176,116,949,19719
27436,2018,8,Yorkshire and The Humber,63,Leeds,A654,major,A650,A61,430000,427030,53.73879875,-1.54666421,4.3,2.67,Counted,Manual count,57,91,8967,51,1354,63,12,14,14,5,6,114,10576
27439,2018,8,Yorkshire and The Humber,63,Leeds,A657,major,A6120,A647,422900,436000,53.81977805,-1.65363846,4.2,2.61,Estimated,Estimated using previous year's AADF on this link,115,37,8210,138,1290,66,15,7,9,1,1,99,9773
27442,2018,8,Yorkshire and The Humber,63,Leeds,A659,major,A1(T),LA Boundary,444140,445000,53.89929871,-1.32973713,4.2,2.61,Estimated,Estimated using previous year's AADF on this link,31,20,3533,22,637,50,4,8,5,4,3,75,4287
27443,2018,8,Yorkshire and The Humber,63,Leeds,A659,major,Ilkley Rd,B6451,420000,445420,53.90456148,-1.69707739,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,207,96,10098,34,1408,140,35,21,39,33,23,291,11927
27802,2018,8,Yorkshire and The Humber,63,Leeds,A6029,major,A653,A650,427000,426400,53.73329972,-1.5921991,1.3,0.81,Estimated,Estimated using previous year's AADF on this link,45,58,6137,52,1301,29,3,1,2,1,0,36,7584
27827,2018,8,Yorkshire and The Humber,63,Leeds,A6110,major,M621,A643,427730,430820,53.77298758,-1.58073857,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,76,190,24975,89,4966,490,87,28,146,94,89,933,31154
27833,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A65,A660(T),424714,437818,53.83603506,-1.62593957,4.1,2.55,Estimated,Estimated using previous year's AADF on this link,30,62,17825,112,2288,131,30,23,67,28,13,292,20579
28003,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,Armley rd,A58(M),428880,433400,53.79611364,-1.5630497,0.2,0.12,Estimated,Estimated using previous year's AADF on this link,533,438,69369,975,12259,873,177,100,289,124,86,1648,84688
28005,2018,8,Yorkshire and The Humber,63,Leeds,A643,major,M621,A58,428530,432000,53.78355007,-1.568492,1.3,0.81,Estimated,Estimated using previous year's AADF on this link,19,195,41229,39,7331,710,165,118,195,193,172,1553,50347
28237,2018,8,Yorkshire and The Humber,63,Leeds,A658,major,A659,A659,424433,445246,53.90280862,-1.62962053,0.4,0.25,Estimated,Estimated using previous year's AADF on this link,132,131,15342,100,2569,274,34,27,94,69,30,528,18670
28289,2018,8,Yorkshire and The Humber,63,Leeds,A647,major,Armley Rd,A58 roundabout,428400,433380,53.7959602,-1.57033826,0.7,0.43,Estimated,Estimated using previous year's AADF on this link,24,197,21689,282,4341,456,120,61,127,88,63,914,27424
28291,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A660,A58(M),430023,434170,53.80296971,-1.54562348,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,175,37,10495,46,1024,47,17,8,2,4,0,79,11681
36055,2018,8,Yorkshire and The Humber,63,Leeds,M62,major,28,29,428900,426400,53.73319833,-1.56339884,4.7,2.92,Counted,Automatic counter,0,136,91676,204,22523,2625,784,805,876,7733,6058,18882,133421
36089,2018,8,Yorkshire and The Humber,63,Leeds,A1(M),major,Adj Hicklam Hotel,LA Boundary,443630,437870,53.83526268,-1.33850939,3.1,1.93,Counted,Manual count,0,329,104004,407,18091,4951,962,410,595,1139,12635,20693,143524
36603,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A6110,A62,428000,432300,53.78627505,-1.57650823,1.9,1.18,Counted,Automatic counter,193,96,10181,127,2154,212,28,9,61,8,5,323,12880
36604,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,"Red Hill Lane, Wellington Hill",A659,435500,440000,53.85502322,-1.46179559,9.3,5.78,Counted,Manual count,17,36,8029,75,960,104,17,4,21,3,2,152,9252
36619,2018,8,Yorkshire and The Humber,63,Leeds,A61,major,A6120(T),Wigton Lane,430930,440000,53.85531453,-1.53126817,1.7,1.06,Counted,Manual count,45,106,17200,264,1782,160,31,4,26,15,26,261,19614
36620,2018,8,Yorkshire and The Humber,63,Leeds,A61,major,A61 East Street/Crown Point Road,A64(M),430700,433600,53.79780739,-1.53540113,0.7,0.43,Estimated,Estimated using previous year's AADF on this link,335,165,26960,1287,3409,301,74,10,92,43,29,549,32371
36634,2018,8,Yorkshire and The Humber,63,Leeds,A63,major,A656,A1(T),445000,431560,53.77843626,-1.3186132,2.7,1.68,Estimated,Estimated using previous year's AADF on this link,19,85,9738,13,1905,229,45,44,181,171,230,899,12639
36642,2018,8,Yorkshire and The Humber,63,Leeds,A65,major,A658,A6120,422673,437859,53.836495,-1.6569501,3.7,2.3,Counted,Manual count,263,116,17657,273,2987,258,68,30,61,63,37,516,21549
37463,2018,8,Yorkshire and The Humber,63,Leeds,A639,major,A642,LA Boundary,440000,426150,53.73022076,-1.39518098,5.5,3.42,Estimated,Estimated using previous year's AADF on this link,51,113,8553,63,1341,88,16,10,20,26,13,174,10243
37477,2018,8,Yorkshire and The Humber,63,Leeds,A647,major,A657,Armley Rd,427978,433613,53.7980771,-1.57672341,3.4,2.11,Estimated,Estimated using previous year's AADF on this link,241,158,19941,344,3846,307,67,24,63,65,40,566,24855
37488,2018,8,Yorkshire and The Humber,63,Leeds,A658,major,A660(T),A659,424630,445000,53.90058839,-1.626642,1.6,0.99,Counted,Manual count,54,211,15976,105,2602,183,38,38,59,83,36,438,19332
37489,2018,8,Yorkshire and The Humber,63,Leeds,A61,major,A659,A659,432283,445616,53.90570629,-1.51011055,1.8,1.12,Estimated,Estimated using previous year's AADF on this link,53,139,19541,155,2748,297,56,24,79,69,74,599,23182
37861,2018,8,Yorkshire and The Humber,63,Leeds,A6110,major,A647,A58,425000,433200,53.79451609,-1.62196717,3.6,2.24,Estimated,Estimated using previous year's AADF on this link,62,136,23088,97,5502,561,99,57,183,130,118,1148,29971
37867,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A61,Roundhay Park Lane,432000,439380,53.84967765,-1.51506643,2.2,1.37,Counted,Manual count,18,80,16045,74,2302,153,43,38,44,36,40,354,18855
38343,2018,8,Yorkshire and The Humber,63,Leeds,A642,major,A639,A639,436158,428000,53.74712749,-1.4531971,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,33,32,3262,42,720,3,0,0,0,0,0,3,4058
46069,2018,8,Yorkshire and The Humber,63,Leeds,A58M,major,A58 West Street,A660,429624,434296,53.80412494,-1.55166946,0.8,0.5,Estimated,Estimated using previous year's AADF on this link,0,217,62405,274,10623,1025,181,81,225,158,96,1767,75285
46600,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A659,A661,440000,447570,53.92273105,-1.39240295,2.1,1.3,Estimated,Estimated using previous year's AADF on this link,94,72,11544,97,1543,113,12,10,6,5,4,150,13406
46614,2018,8,Yorkshire and The Humber,63,Leeds,A61,major,Cross Stamford St,A61 spur,430800,434500,53.80589039,-1.53379334,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,203,130,18260,58,2650,266,39,26,62,22,30,445,21544
46625,2018,8,Yorkshire and The Humber,63,Leeds,A62,major,A6110,A58,428000,432000,53.78357873,-1.57653536,1.5,0.93,Estimated,Estimated using previous year's AADF on this link,83,94,11311,84,3165,428,60,25,29,37,37,615,15270
46630,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A64,A63(T),436154,434995,53.80999585,-1.4524404,2.4,1.49,Counted,Manual count,32,118,21687,59,2729,233,31,16,37,58,46,420,25014
46633,2018,8,Yorkshire and The Humber,63,Leeds,A64,major,A63,A6120,435000,434700,53.8074232,-1.46999784,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,176,189,25502,389,3577,266,52,27,67,31,35,478,30135
47438,2018,8,Yorkshire and The Humber,63,Leeds,A647,major,LA Boundary,A6120,420000,434140,53.80317972,-1.69780796,1.3,0.81,Estimated,Estimated using previous year's AADF on this link,204,206,40370,390,5201,458,65,66,73,86,55,803,46970
47443,2018,8,Yorkshire and The Humber,63,Leeds,A650,major,M62,A654,428800,426000,53.72960872,-1.56495174,1.1,0.68,Counted,Manual count,52,121,18828,88,2928,233,31,11,53,19,17,364,22329
47446,2018,8,Yorkshire and The Humber,63,Leeds,A653,major,A6029,M62,427960,426000,53.72965423,-1.57768338,1.1,0.68,Estimated,Estimated using previous year's AADF on this link,45,150,18609,117,2866,399,78,60,278,226,106,1148,22890
47449,2018,8,Yorkshire and The Humber,63,Leeds,A657,major,LA Boundary,A6120,420000,437080,53.82960386,-1.69761798,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,44,104,15435,120,2011,140,37,17,81,31,15,322,17992
47451,2018,8,Yorkshire and The Humber,63,Leeds,A659,major,A58,Roundabout A168,440000,445960,53.90826154,-1.39261288,1.3,0.81,Counted,Manual count,15,57,9397,21,1514,150,37,9,45,58,47,346,11336
47808,2018,8,Yorkshire and The Humber,63,Leeds,A6038,major,WEST BUSK LANE,A660,419390,444970,53.90054007,-1.70639004,1,0.62,Estimated,Estimated using previous year's AADF on this link,62,53,14545,183,2422,140,31,25,49,18,21,285,17488
47827,2018,8,Yorkshire and The Humber,63,Leeds,A6110,major,A62,M621,427550,431240,53.77677195,-1.58343225,0.4,0.25,Estimated,Estimated using previous year's AADF on this link,63,166,33006,84,7456,942,205,115,441,349,391,2444,43156
47831,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A657,A65,422440,437000,53.82878576,-1.66055299,1.6,0.99,Counted,Automatic counter,113,180,32060,118,4875,544,73,64,99,64,66,909,38143
48049,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,B6154,Armley Rd,428669,433183,53.79417493,-1.56627293,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,546,438,69369,975,12259,873,177,100,289,124,86,1648,84688
48328,2018,8,Yorkshire and The Humber,63,Leeds,A653,major,A6110 Millshaw Road,A6110 Ring road Beeston,428518,429365,53.75986803,-1.56891667,0.8,0.5,Counted,Manual count,52,62,9408,32,1239,70,23,13,20,19,14,158,10898
48329,2018,8,Yorkshire and The Humber,63,Leeds,A660,major,A6038/A659,LA Boundary,419000,445272,53.9032687,-1.71230672,1.8,1.12,Estimated,Estimated using previous year's AADF on this link,153,122,13856,110,1910,184,56,52,49,50,57,447,16446
48416,2018,8,Yorkshire and The Humber,63,Leeds,A58M,major,A660,A66,430012,434433,53.8053341,-1.54576496,0.4,0.25,Estimated,Estimated using previous year's AADF on this link,0,276,56836,224,9382,859,136,47,173,108,75,1399,68118
48535,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A58(M),A65 mid-roundabout,428980,433500,53.79700687,-1.56152226,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,618,165,24575,580,4123,396,79,59,73,71,40,717,30161
56007,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,43,44,431004,430551,53.77038601,-1.53109151,1,0.62,Counted,Manual count,0,235,76273,327,12759,2305,413,152,511,351,1635,5367,94961
56009,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,3 (SPUR),4,430260,431970,53.78318315,-1.5422403,0.4,0.25,Counted,Manual count,0,245,60677,192,10648,2013,319,105,480,321,1200,4438,76201
56053,2018,8,Yorkshire and The Humber,63,Leeds,M62,major,30,LA Boundary,436500,425930,53.72849935,-1.44825504,2.5,1.55,Counted,Manual count,0,218,74878,165,16354,3968,643,518,933,1639,10551,18250,109865
56063,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,1,2,428000,431430,53.77845572,-1.5765869,1.1,0.68,Estimated,Estimated using previous year's AADF on this link,0,143,66583,255,10932,2587,399,163,397,340,1167,5053,82967
56065,2018,8,Yorkshire and The Humber,63,Leeds,A58M,major,A58 Wellington Road,A58 West Street,429000,433500,53.79700576,-1.56121864,0.7,0.43,Estimated,Estimated using previous year's AADF on this link,0,212,41524,293,8064,680,136,61,219,105,79,1280,51373
56479,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,Gledhow Rd,A6120,432139,435823,53.817699,-1.5133242,5.2,3.23,Counted,Manual count,104,96,16171,266,1490,105,18,16,9,4,0,153,18177
56599,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A61,Gledhow Rd,431000,435060,53.81091163,-1.53070034,1,0.62,Estimated,Estimated using previous year's AADF on this link,66,65,13012,51,1578,192,18,9,28,14,5,267,14973
56621,2018,8,Yorkshire and The Humber,63,Leeds,A64,major,"Baildon Drive, Whinmoor",LA Boundary,439099,439223,53.847781,-1.4071836,7.5,4.66,Counted,Manual count,1,96,17609,107,2667,242,59,23,56,104,98,582,21062
56883,2018,8,Yorkshire and The Humber,63,Leeds,A659,major,East Busk Lane,A658,421000,445770,53.90766783,-1.68183334,3.8,2.36,Estimated,Estimated using previous year's AADF on this link,65,44,8636,108,1780,127,34,22,62,30,38,313,10881
56895,2018,8,Yorkshire and The Humber,63,Leeds,A642,major,"Pottery Lane, Woodlesford",A63,438000,429970,53.76470239,-1.42502578,4.1,2.55,Counted,Manual count,68,199,9583,77,1617,62,12,0,8,2,0,84,11560
56986,2018,8,Yorkshire and The Humber,63,Leeds,A6120,major,A58,A64,435000,437800,53.83528456,-1.4696463,2,1.24,Estimated,Estimated using previous year's AADF on this link,23,44,14223,42,3168,204,61,28,128,21,34,475,17952
57091,2018,8,Yorkshire and The Humber,63,Leeds,A643,major,A6110,M621,427980,431082,53.77532906,-1.57692182,1.4,0.87,Estimated,Estimated using previous year's AADF on this link,193,70,12897,200,2423,132,67,10,67,14,14,305,15895
57092,2018,8,Yorkshire and The Humber,63,Leeds,A6110,major,A643,A643,427900,430400,53.76920368,-1.5781971,0.4,0.25,Estimated,Estimated using previous year's AADF on this link,173,187,33522,352,5612,451,93,20,259,72,82,977,40650
57442,2018,8,Yorkshire and The Humber,63,Leeds,A650,major,A643,A6029,425000,427500,53.74328561,-1.6224268,2.3,1.43,Estimated,Estimated using previous year's AADF on this link,129,123,12722,42,2884,311,53,26,183,170,95,838,16610
57448,2018,8,Yorkshire and The Humber,63,Leeds,A656,major,LA Boundary,A63,442800,430000,53.76460087,-1.35221122,5.3,3.29,Estimated,Estimated using previous year's AADF on this link,16,157,6520,28,2057,111,48,12,33,54,67,324,9085
57485,2018,8,Yorkshire and The Humber,63,Leeds,A653,major,A6110 Ring Road Beeston,M621,430000,430966,53.77417448,-1.54628333,2.7,1.68,Estimated,Estimated using previous year's AADF on this link,226,146,11417,468,1866,322,82,35,51,162,128,780,14676
57490,2018,8,Yorkshire and The Humber,63,Leeds,A660,major,A6120,"A658Kingsley Drive, Holt Park",427000,440000,53.85553287,-1.59101246,2.5,1.55,Estimated,Estimated using previous year's AADF on this link,209,102,12991,253,1951,271,47,46,86,38,55,543,15840
57589,2018,8,Yorkshire and The Humber,63,Leeds,A642,major,A639,A639,436100,428300,53.74982779,-1.4540416,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,56,181,15447,108,2064,106,15,39,24,20,9,212,18014
57696,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,A643,A647 Canal St roundabout,428610,432870,53.79136501,-1.56719749,0.6,0.37,Estimated,Estimated using previous year's AADF on this link,82,306,51348,163,9552,951,201,127,191,209,135,1813,63182
57751,2018,8,Yorkshire and The Humber,63,Leeds,A6110,major,A643,A6110 split,428100,430000,53.76559788,-1.57519917,0.8,0.5,Estimated,Estimated using previous year's AADF on this link,86,129,30379,161,3028,313,111,23,147,84,49,726,34424
58227,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,M62,A650(SPUR),423654,428000,53.74784205,-1.64279644,1.1,0.68,Counted,Automatic counter,0,44,17141,45,3873,1151,122,103,100,529,1887,3892,24995
58230,2018,8,Yorkshire and The Humber,63,Leeds,A64M,major,A58M,A64,430433,434000,53.80141808,-1.53941515,0.9,0.56,Estimated,Estimated using previous year's AADF on this link,0,222,36299,205,5988,472,153,54,192,69,69,1009,43722
59050,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,5,6,430413,430984,53.7743124,-1.54001524,1,0.62,Counted,Manual count,0,308,85137,356,13141,2520,276,180,401,561,1443,5381,104323
