"osm_id","name","ref","highway","aadt","roadtype","road_importance","urban"
"2908048","Institute Hill",NA,"tertiary",NA,"minor",1,0
"2921216","Merryl Lane",NA,"unclassified",NA,"minor",5,0
"2921217",NA,NA,"unclassified",NA,"minor",4,0
"2921218","Roud Road",NA,"unclassified",NA,"minor",5,0
"2921265","Warlands Lane",NA,"unclassified",NA,"minor",5,0
"2954929","Pitts Lane",NA,"residential",NA,"minor",5,1
"2954931","The Old Forge Close",NA,"residential",NA,"minor",3,1
"2954932","Wykeham Close",NA,"residential",NA,"minor",4,1
"2954942","Adelaide Court",NA,"residential",NA,"minor",3,1
"2955544","Barge Lane",NA,"residential",NA,"minor",4,0
"2955545","Sloop Lane",NA,"residential",NA,"minor",2,1
"2955546","Mill Square",NA,"unclassified",NA,"minor",2,1
"2955564","St Edmunds Walk",NA,"residential",NA,"minor",4,1
"2955565","Whitehead Crescent",NA,"residential",NA,"minor",5,1
"2955566","Woodlands Crescent",NA,"residential",NA,"minor",5,1
"2955571","Creek Gardens",NA,"residential",NA,"minor",4,1
"2955572","Woodside",NA,"unclassified",NA,"minor",4,0
"2955574","Fernhill",NA,"residential",NA,"minor",5,1
"2955575","Packsfield Lane",NA,"residential",NA,"minor",4,1
"2955576","Kennedy Close",NA,"residential",NA,"minor",3,1
"2955579","Red Road",NA,"residential",NA,"minor",4,1
"2955581","Gravel Pit Road",NA,"unclassified",NA,"minor",5,1
"2955583","Glendale Close",NA,"residential",NA,"minor",4,1
"2955584","Park View",NA,"residential",NA,"minor",4,0
"2955627","William Street",NA,"residential",NA,"minor",5,1
"2955628","Gwydyr Close",NA,"residential",NA,"minor",2,1
"2955629","Thornbrough close",NA,"residential",NA,"minor",3,1
"2955630","Brookfield Gardens",NA,"residential",NA,"minor",4,1
"2955668","Ashlake Farm Lane",NA,"residential",NA,"minor",5,0
"2955669","Ashlake Copse Lane",NA,"residential",NA,"minor",4,0
"2956935","Coronation Avenue",NA,"residential",NA,"minor",5,1
"2956936","Chawton Lane",NA,"unclassified",NA,"minor",5,0
"2956983","Westhill Lane",NA,"unclassified",NA,"minor",5,0
"2956990","Linstone Drive",NA,"residential",NA,"minor",3,0
"2956991","Braxton Meadow",NA,"residential",NA,"minor",4,0
"2956992","Graeme Road",NA,"residential",NA,"minor",5,0
"2956993","Crozier Road",NA,"residential",NA,"minor",2,0
"2956994","Worsley Road",NA,"residential",NA,"minor",3,0
"2956996","Sconce Road",NA,"residential",NA,"minor",2,0
"2956997","Hammond Close",NA,"residential",NA,"minor",4,0
"2957175","Norton Green",NA,"unclassified",NA,"minor",4,0
"2957184","Madeira Lane",NA,"unclassified",NA,"minor",5,1
"2957286","York Lane",NA,"residential",NA,"minor",5,1
"2957290","Heatherwood Park Road",NA,"residential",NA,"minor",5,1
"2957291","Eden Road",NA,"residential",NA,"minor",5,1
"2957294","Church Hill",NA,"secondary",NA,"minor",5,1
"2957328",NA,NA,"unclassified",NA,"minor",4,0
"2957406","Greenlydd Close",NA,"residential",NA,"minor",5,0
"2957408","The Glen",NA,"residential",NA,"minor",3,0
"2957409","Glen Approach",NA,"residential",NA,"minor",4,0
"2957424","School Lane",NA,"residential",NA,"minor",2,0
"2957695","Yarmouth Road","A3054","primary",7548,"major",5,0
"2957703","Main Road Shalfleet","A3054","primary",7155,"major",2,0
"2959315","Beach Road",NA,"residential",NA,"minor",4,1
"2959316","Station Road",NA,"residential",NA,"minor",4,1
"2959442",NA,"A3054","primary",7155,"major",2,0
"2959920","East Mead",NA,"residential",NA,"minor",4,1
"2970973","Westwood Road",NA,"residential",NA,"minor",5,1
"2970974","Argyll Place",NA,"residential",NA,"minor",3,1
"2971010","Holgate Lane",NA,"unclassified",NA,"minor",3,0
"2971012","East Green",NA,"residential",NA,"minor",3,0
"2977468","New Barn Lane",NA,"residential",NA,"minor",1,0
"2977469","Taylors Court",NA,"residential",NA,"minor",2,0
"3032738","Mill Lane",NA,"unclassified",NA,"minor",5,0
"3032739","Redshank Way",NA,"residential",NA,"minor",4,0
"3032740","Bittern Place",NA,"residential",NA,"minor",4,0
"3032741",NA,NA,"unclassified",NA,"minor",4,0
"3032968",NA,NA,"unclassified",NA,"minor",4,1
"3032969","Bloomsbury Park",NA,"unclassified",NA,"minor",2,1
"3032970","Bernard Way",NA,"unclassified",NA,"minor",1,1
"3033050","Talbot Road",NA,"unclassified",NA,"minor",2,1
"3033051","The Mall",NA,"residential",NA,"minor",1,1
"3075395",NA,NA,"unclassified",NA,"minor",1,0
"3075417",NA,NA,"residential",NA,"minor",4,1
"3075920","Frampton Way",NA,"residential",NA,"minor",3,1
"3075921","Tyne Walk",NA,"residential",NA,"minor",4,1
"3075922","Meadow End",NA,"residential",NA,"minor",3,1
"3115018","Warren Point",NA,"unclassified",NA,"minor",4,0
"3214455","Abbey Lane",NA,"residential",NA,"minor",3,1
"3407019",NA,NA,"primary",NA,"major",1,0
"3407020",NA,NA,"primary",NA,"major",1,0
"3407028",NA,NA,"unclassified",NA,"minor",4,1
"3407043",NA,NA,"tertiary",NA,"minor",1,1
"3407044",NA,NA,"residential",NA,"minor",3,1
"3715413",NA,NA,"unclassified",NA,"minor",2,1
"3779444","St Georges Way",NA,"primary",NA,"major",1,1
"3779446","Beech Road",NA,"residential",NA,"minor",2,1
"3870813",NA,NA,"primary_link",NA,"major",2,1
"3870814",NA,NA,"primary_link",NA,"major",1,1
"3870815",NA,NA,"primary_link",NA,"major",1,1
"3871506","Brooke Road",NA,"residential",NA,"minor",2,1
"3871509","Spring Lane",NA,"unclassified",NA,"minor",1,1
"3871512",NA,NA,"tertiary",NA,"minor",2,1
"3871514",NA,NA,"unclassified",NA,"minor",1,1
"3871519",NA,NA,"unclassified",NA,"minor",1,1
